ID#,Name,Primary
1002293,John Clarkson
1013958,Lefty Wilkie
1615,Cody McKay
1002491,Keith Comstock
1004569,Hank Gastright
1001241,Jim Bouton
1002515,Bill Connelly
1011399,Joe Samuels
1001504,Clint Brown
7183,B.J. Rosenberg
1004915,Mike Grace
1004420,John Gaddy
1009084,Leo Moon
1593,Kevin Cash
1007757,Marcelino Lopez
1001388,Bert Brenner
1001305,Foghorn Bradley
674,Jeff Williams
1001175,Gus Bono
1005814,Frank Hiller
1012787,Bill Swift
1014134,Lave Winham
1002343,Lance Clemons
1001572,Bruce Brubaker
1009393,Matt Murray
1010341,William Pierson
1011167,Mike Romano
10078,Caleb Thielbar
1007975,Pete Magrini
7274,Craig Stammen
1010350,Duane Pillette
1003521,Jim Duckworth
6736,Luke Putkonen
925,Allen Levrault
1001307,George Bradley
1013887,Milt Whitehead
1000499,Tony Balsamo
27,Ramon Ortiz
1003603,Mike Duvall
1006694,Erv Kantlehner
1001502,Charlie Brown
8180,Kevin Siegrist
1008438,Phil McCullough
1012042,John Skopec
9037,J.J. Hoover
1009582,Joe Niekro
1004906,Mauro Gozzo
1010004,Jay Parker
1003755,Steve Ellsworth
3548,Liam Hendriks
1010986,Bill Risley
1001158,Tommy Bond
1008629,Don McMahon
14077,Raudel Lazo
1492,Rob Bell
1002695,Danny Cox
1005097,Matt Grott
1001877,Dave Campbell
1012885,Ron Taylor
1009109,Gene Moore
1001584,Duff Brumley
1011296,Red Ruffing
1005704,Jesus Hernaiz
1007521,Mark Lemongello
2141,Chris Narveson
13849,Jon Moscot
1002182,Tony Chevez
1011540,Jack Scheible
1304,Felix Heredia
1005782,Kirby Higbe
1012279,Lary Sorensen
1010404,Bud Podbielan
1000074,Doc Adkins
1005046,Marty Griffin
1013501,Rube Walberg
11867,Brett Bochy
1013073,Ben Tincup
1000731,Jim Beattie
1000185,Porfi Altamirano
1004556,Ned Garver
12905,Logan Verrett
1011625,Barney Schultz
1013431,Ken Vining
1001126,Brian Bohanon
1004374,Todd Frohwirth
1006735,Ray Keating
1013443,Joe Vitko
1001530,John Brown
1013609,Duane Ward
7355,Casey Janssen
10332,Nick Christiani
998,Brian Meadows
12703,Trevor Bauer
1008446,Mike McDermott
4621,Sean Tracey
1006135,Hal Hudson
1008106,Juan Marichal
1011442,Jose Santiago
1013799,David West
277,Leo Estrella
6127,Juan Jaime
8577,Clay Zavada
1004400,Chick Fulmer
1006134,Charles Hudson
836,Ramiro Mendoza
800,T.J. Tucker
1010933,Woody Rich
1001886,Kevin Campbell
1013697,Floyd Weaver
1004220,Gene Ford
1000477,Dave Baldwin
