Date,Team,Opp,BO,Pos,PA,H,2B,3B,HR,R,RBI,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+
2015-06-27,LAD,@MIA,7,PH-RF,1,0,0,0,0,0,0,0,0,0.0 %,0.0 %,.000,.000,.000,.000,.000,.000,-100
2015-06-26,LAD,@MIA,9,PH-RF,1,0,0,0,0,0,0,0,0,0.0 %,0.0 %,.000,.000,.000,.000,.000,.000,-100
2015-06-23,LAD,@CHC,1,RF,4,1,0,1,0,0,0,0,0,0.0 %,25.0 %,.500,.333,.250,.250,.750,.399,159
2015-06-22,LAD,@CHC,1,RF,4,1,0,0,0,0,0,0,1,25.0 %,0.0 %,.000,.333,.333,.500,.333,.392,155
2015-06-21,LAD,SFG,1,RF,5,2,0,0,0,2,2,0,0,20.0 %,0.0 %,.000,.500,.500,.600,.500,.490,222
2015-06-20,LAD,SFG,1,RF,4,1,1,0,0,0,0,0,0,0.0 %,25.0 %,.250,.333,.250,.250,.500,.314,101
2015-06-19,LAD,SFG,1,RF,5,0,0,0,0,0,0,0,0,0.0 %,20.0 %,.000,.000,.000,.000,.000,.000,-100
2015-06-18,LAD,TEX,2,RF,4,1,0,1,0,0,0,0,0,0.0 %,25.0 %,.500,.333,.250,.250,.750,.399,159
2015-06-17,LAD,TEX,1,RF,5,1,1,0,0,0,0,0,0,20.0 %,20.0 %,.250,.333,.250,.400,.500,.389,152
2015-06-16,LAD,@TEX,2,RF,4,0,0,0,0,0,0,0,0,0.0 %,0.0 %,.000,.000,.000,.000,.000,.000,-100
2015-06-15,LAD,@TEX,2,RF,4,0,0,0,0,0,0,0,0,0.0 %,75.0 %,.000,.000,.000,.000,.000,.000,-100
2015-06-14,LAD,@SDP,2,RF,5,1,0,0,0,1,0,0,0,20.0 %,20.0 %,.000,.333,.250,.400,.250,.314,101
2015-06-13,LAD,@SDP,2,RF,4,2,0,0,0,0,0,0,0,0.0 %,0.0 %,.000,.500,.500,.500,.500,.440,188
2015-06-12,LAD,@SDP,2,RF,5,2,0,0,0,0,0,0,0,20.0 %,20.0 %,.000,.667,.500,.600,.500,.490,222
2015-06-10,LAD,ARI,2,RF,5,4,1,0,1,2,3,0,0,20.0 %,0.0 %,1.000,1.000,1.000,1.000,2.000,1.154,677
2015-06-09,LAD,ARI,2,RF,4,2,1,0,0,1,0,0,0,0.0 %,0.0 %,.250,.500,.500,.500,.750,.534,252
2015-06-07,LAD,STL,2,RF,4,2,0,0,0,1,0,0,0,0.0 %,25.0 %,.000,.667,.500,.500,.500,.440,188
2015-06-06,LAD,STL,3,RF,3,1,1,0,0,1,1,0,0,0.0 %,66.7 %,.333,1.000,.333,.333,.667,.419,173
2015-04-24,LAD,@SDP,2,RF,3,0,0,0,0,0,0,0,0,0.0 %,0.0 %,.000,.000,.000,.333,.000,.239,50
2015-04-23,LAD,@SFG,2,RF,5,1,0,0,0,0,0,0,0,20.0 %,0.0 %,.000,.250,.250,.400,.250,.314,101
2015-04-22,LAD,@SFG,3,RF,4,1,0,0,0,0,0,0,0,25.0 %,0.0 %,.000,.333,.333,.500,.333,.392,155
2015-04-21,LAD,@SFG,2,RF,4,2,0,0,0,0,0,0,0,0.0 %,0.0 %,.000,.500,.500,.500,.500,.440,188
2015-04-18,LAD,COL,2,RF,4,2,1,0,0,1,1,0,0,25.0 %,0.0 %,.333,.667,.667,.750,1.000,.706,370
2015-04-13,LAD,SEA,2,RF,5,3,0,0,1,1,1,0,0,0.0 %,0.0 %,.600,.500,.600,.600,1.200,.765,411
2015-04-12,LAD,@ARI,2,RF,6,1,0,0,1,1,1,0,0,16.7 %,16.7 %,.600,.000,.200,.333,.800,.459,200
2015-04-10,LAD,@ARI,2,RF,5,1,0,0,0,0,0,0,0,0.0 %,40.0 %,.000,.333,.200,.200,.200,.176,7
2015-04-08,LAD,SDP,2,RF,5,0,0,0,0,0,1,0,0,0.0 %,0.0 %,.000,.000,.000,.000,.000,.000,-100
2015-04-07,LAD,SDP,2,RF,4,1,1,0,0,1,0,0,0,0.0 %,50.0 %,.250,.500,.250,.250,.500,.314,101
2015-04-06,LAD,SDP,2,RF,5,0,0,0,0,0,0,0,1,20.0 %,40.0 %,.000,.000,.000,.400,.000,.281,79
2014-09-28,LAD,COL,2,CF,3,0,0,0,0,1,0,0,0,0.0 %,66.7 %,.000,.000,.000,.000,.000,.000,-100
2014-09-27,LAD,COL,2,CF,3,1,0,0,0,1,0,1,0,0.0 %,0.0 %,.000,.333,.333,.333,.333,.297,91
2014-09-26,LAD,COL,2,CF,2,1,0,0,0,0,1,0,0,0.0 %,50.0 %,.000,1.000,.500,.500,.500,.446,193
2014-09-24,LAD,SFG,2,CF,5,1,0,0,1,1,2,0,0,20.0 %,20.0 %,.750,.000,.250,.400,1.000,.565,274
2014-09-23,LAD,SFG,2,CF,4,0,0,0,0,1,0,0,0,0.0 %,50.0 %,.000,.000,.000,.250,.000,.181,11
2014-09-22,LAD,SFG,2,CF,5,0,0,0,0,0,0,0,0,0.0 %,20.0 %,.000,.000,.000,.200,.000,.144,-13
2014-09-21,LAD,@CHC,2,CF,5,2,0,0,0,4,0,1,0,0.0 %,20.0 %,.000,.500,.400,.400,.400,.357,132
2014-09-20,LAD,@CHC,2,CF,5,2,1,0,0,2,0,0,0,20.0 %,0.0 %,.250,.500,.500,.600,.750,.573,279
2014-09-19,LAD,@CHC,2,CF,5,2,1,0,1,2,3,0,0,20.0 %,0.0 %,1.000,.333,.500,.600,1.500,.821,449
2014-09-18,LAD,@CHC,2,CF,5,3,0,0,0,1,1,0,0,0.0 %,0.0 %,.000,.600,.600,.600,.600,.535,253
2014-09-17,LAD,@COL,2,CF,3,0,0,0,0,0,0,0,0,0.0 %,0.0 %,.000,.000,.000,.000,.000,.000,-100
2014-09-16,LAD,@COL,2,CF,5,2,0,0,1,1,2,0,0,0.0 %,40.0 %,.600,.500,.400,.400,1.000,.605,302
2014-09-15,LAD,@COL,2,CF,6,2,1,0,0,2,0,1,0,16.7 %,0.0 %,.200,.400,.400,.500,.600,.477,214
2014-09-14,LAD,@SFG,2,CF,4,1,0,0,0,0,0,0,0,0.0 %,50.0 %,.000,.500,.250,.250,.250,.223,40
2014-09-13,LAD,@SFG,2,CF,6,3,1,0,0,3,0,0,0,0.0 %,16.7 %,.200,.750,.600,.667,.800,.631,319
2014-09-12,LAD,@SFG,1,CF,4,1,0,0,0,0,0,0,0,25.0 %,0.0 %,.000,.333,.333,.500,.333,.395,158
2014-09-10,LAD,SDP,1,CF,4,0,0,0,0,0,0,0,0,0.0 %,50.0 %,.000,.000,.000,.000,.000,.000,-100
2014-09-09,LAD,SDP,7,CF,4,1,0,0,0,0,0,0,0,0.0 %,25.0 %,.000,.333,.250,.250,.250,.223,40
2014-09-08,LAD,SDP,6,CF,5,1,0,0,0,0,1,0,0,20.0 %,20.0 %,.000,.333,.250,.400,.250,.316,104
2014-09-07,LAD,ARI,7,CF,3,0,0,0,0,0,0,0,0,33.3 %,0.0 %,.000,.000,.000,.333,.000,.230,45
2014-09-05,LAD,ARI,1,CF,4,0,0,0,0,0,0,0,0,25.0 %,25.0 %,.000,.000,.000,.500,.000,.353,129
2014-09-03,LAD,WSN,2,RF,7,2,0,0,0,0,0,0,0,0.0 %,14.3 %,.000,.333,.286,.286,.286,.255,62
2014-09-01,LAD,WSN,6,CF,4,0,0,0,0,1,0,0,0,25.0 %,0.0 %,.000,.000,.000,.250,.000,.172,6
2014-08-31,LAD,@SDP,1,CF,5,1,1,0,0,1,0,0,0,0.0 %,40.0 %,.200,.333,.200,.200,.400,.257,63
2014-08-30,LAD,@SDP,5,CF,5,1,0,0,0,0,0,0,0,0.0 %,60.0 %,.000,.500,.200,.200,.200,.178,10
2014-08-29,LAD,@SDP,9,PH,1,0,0,0,0,0,0,0,0,0.0 %,100.0 %,.000,.000,.000,.000,.000,.000,-100
2014-08-27,LAD,@ARI,2,CF,5,0,0,0,0,1,0,0,0,40.0 %,0.0 %,.000,.000,.000,.400,.000,.276,76
2014-08-26,LAD,@ARI,2,CF,5,0,0,0,0,0,0,1,0,40.0 %,40.0 %,.000,.000,.000,.400,.000,.276,76
2014-08-24,LAD,NYM,2,CF,4,0,0,0,0,0,0,0,0,25.0 %,25.0 %,.000,.000,.000,.250,.000,.172,6
2014-08-22,LAD,NYM,2,CF,5,0,0,0,0,1,0,0,0,20.0 %,0.0 %,.000,.000,.000,.200,.000,.138,-18
2014-08-21,LAD,SDP,2,CF,3,0,0,0,0,0,0,0,0,0.0 %,33.3 %,.000,.000,.000,.000,.000,.000,-100
2014-08-20,LAD,SDP,2,CF,4,1,0,0,0,1,0,0,0,0.0 %,0.0 %,.000,.250,.250,.250,.250,.223,40
2014-08-19,LAD,SDP,2,CF,4,1,0,0,0,1,0,0,0,0.0 %,50.0 %,.000,.500,.250,.250,.250,.223,40
2014-08-17,LAD,MIL,2,CF,5,1,0,0,0,0,0,0,0,0.0 %,20.0 %,.000,.250,.200,.200,.200,.178,10
2014-08-16,LAD,MIL,2,CF,4,1,0,0,0,0,0,0,0,0.0 %,0.0 %,.000,.250,.250,.250,.250,.223,40
2014-08-15,LAD,MIL,2,CF,4,3,1,0,0,1,2,0,0,0.0 %,0.0 %,.250,.750,.750,.750,1.000,.766,412
2014-08-14,LAD,@ATL,2,CF,5,3,0,0,0,0,1,0,0,0.0 %,0.0 %,.000,.750,.750,.800,.750,.679,352
2014-08-13,LAD,@ATL,2,CF,5,0,0,0,0,0,0,0,0,20.0 %,80.0 %,.000,.000,.000,.200,.000,.138,-18
2014-08-12,LAD,@ATL,2,CF,5,0,0,0,0,0,1,0,0,0.0 %,20.0 %,.000,.000,.000,.000,.000,.000,-100
2014-08-11,LAD,@ATL,2,CF,5,2,0,0,0,2,0,0,0,20.0 %,0.0 %,.000,.500,.500,.600,.500,.494,226
2014-08-09,LAD,@MIL,2,CF,4,0,0,0,0,0,0,0,0,0.0 %,25.0 %,.000,.000,.000,.000,.000,.000,-100
2014-08-08,LAD,@MIL,2,CF,5,0,0,0,0,1,0,0,0,20.0 %,20.0 %,.000,.000,.000,.200,.000,.138,-18
2014-08-07,LAD,@LAA,2,CF,5,2,0,0,0,1,0,0,0,0.0 %,40.0 %,.000,.667,.400,.400,.400,.357,132
2014-08-06,LAD,@LAA,2,CF,4,1,1,0,0,0,0,0,0,25.0 %,0.0 %,.333,.333,.333,.500,.667,.493,225
2014-08-05,LAD,LAA,2,CF,4,0,0,0,0,0,0,0,0,0.0 %,0.0 %,.000,.000,.000,.000,.000,.000,-100
2014-08-04,LAD,LAA,2,CF,4,0,0,0,0,0,0,0,0,0.0 %,25.0 %,.000,.000,.000,.000,.000,.000,-100
2014-08-03,LAD,CHC,2,CF,4,2,0,0,0,0,0,0,0,0.0 %,25.0 %,.000,.667,.500,.500,.500,.446,193
2014-08-02,LAD,CHC,9,PH,1,1,0,0,0,0,0,0,0,0.0 %,0.0 %,.000,1.000,1.000,1.000,1.000,.892,497
2014-08-01,LAD,CHC,2,CF,3,1,0,0,0,1,0,0,0,0.0 %,0.0 %,.000,.333,.333,.333,.333,.297,91
2014-07-31,LAD,ATL,2,CF,4,2,1,0,1,2,1,0,0,25.0 %,0.0 %,1.333,.500,.667,.750,2.000,1.027,589
2014-07-30,LAD,ATL,2,CF,5,1,0,0,0,0,0,0,0,20.0 %,0.0 %,.000,.250,.250,.400,.250,.316,104
2014-07-29,LAD,ATL,2,CF,5,4,1,1,0,2,0,0,0,0.0 %,20.0 %,.600,1.000,.800,.800,1.400,.940,530
2014-07-27,LAD,@SFG,2,CF,5,0,0,0,0,1,0,0,0,20.0 %,20.0 %,.000,.000,.000,.200,.000,.138,-18
2014-07-26,LAD,@SFG,2,CF,5,1,0,0,0,1,0,0,0,0.0 %,20.0 %,.000,.250,.200,.200,.200,.178,10
2014-07-25,LAD,@SFG,2,CF,5,4,1,3,0,2,2,0,0,0.0 %,0.0 %,1.400,.800,.800,.800,2.200,1.237,733
2014-07-23,LAD,@PIT,9,PH-CF,1,0,0,0,0,0,0,0,0,100.0 %,0.0 %,.000,.000,.000,1.000,.000,.689,359
2014-07-19,LAD,@STL,3,RF,3,0,0,0,0,0,0,0,0,33.3 %,0.0 %,.000,.000,.000,.667,.000,.470,209
2014-07-18,LAD,@STL,2,RF,4,1,0,0,0,0,0,0,0,25.0 %,0.0 %,.000,.333,.333,.500,.333,.395,158
2014-07-13,LAD,SDP,3,RF,4,2,1,0,0,0,1,0,0,0.0 %,50.0 %,.250,1.000,.500,.500,.750,.544,259
2014-07-12,LAD,SDP,2,RF,2,0,0,0,0,0,0,0,0,0.0 %,50.0 %,.000,.000,.000,.000,.000,.000,-100
2014-07-11,LAD,SDP,2,RF,5,2,1,0,0,1,1,0,0,20.0 %,20.0 %,.250,.667,.500,.600,.750,.573,279
2014-07-10,LAD,SDP,3,RF,4,1,1,0,0,1,0,0,0,0.0 %,50.0 %,.250,.500,.250,.250,.500,.321,107
2014-07-09,LAD,@DET,2,RF,4,2,1,1,0,0,0,0,0,0.0 %,25.0 %,.750,.667,.500,.500,1.250,.729,386
